Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,17-11-2010,tot:,07-08-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B12B0135,001,12BA3135,239950,567025,180,22-08-1983,22-08-1983,07-08-2019,552,52,-150,-350


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B12B0135,001,17-11-2010,179,127,373,,,,,,
B12B0135,001,18-11-2010,180,128,372,,,,,,
B12B0135,001,19-11-2010,180,128,372,,,,,,
B12B0135,001,20-11-2010,181,129,371,,,,,,
B12B0135,001,21-11-2010,181,129,371,,,,,,
B12B0135,001,22-11-2010,181,129,371,,,,,,
B12B0135,001,23-11-2010,180,128,372,,,,,,
B12B0135,001,24-11-2010,179,127,373,,,,,,
B12B0135,001,25-11-2010,179,127,373,,,,,,
B12B0135,001,26-11-2010,180,128,372,,,,,,
B12B0135,001,27-11-2010,181,129,371,,,,,,
B12B0135,001,28-11-2010,182,130,370,,,,,,
B12B0135,001,29-11-2010,183,131,369,,,,,,
B12B0135,001,30-11-2010,183,131,369,,,,,,
B12B0135,001,01-12-2010,183,131,369,,,,,,
B12B0135,001,02-12-2010,184,132,368,,,,,,
B12B0135,001,03-12-2010,184,132,368,,,,,,
B12B0135,001,04-12-2010,184,132,368,,,,,,
B12B0135,001,05-12-2010,182,130,370,,,,,,
B12B0135,001,06-12-2010,182,130,370,,,,,,
B12B0135,001,07-12-2010,182,130,370,,,,,,
B12B0135,001,08-12-2010,183,131,369,,,,,,
B12B0135,001,09-12-2010,185,133,367,,,,,,
B12B0135,001,10-12-2010,184,132,368,,,,,,
B12B0135,001,11-12-2010,176,124,376,,,,,,
B12B0135,001,12-12-2010,176,124,376,,,,,,
B12B0135,001,13-12-2010,178,126,374,,,,,,
B12B0135,001,14-12-2010,180,128,372,,,,,,
B12B0135,001,15-12-2010,180,128,372,,,,,,
B12B0135,001,16-12-2010,177,125,375,,,,,,
B12B0135,001,17-12-2010,175,123,377,,,,,,
B12B0135,001,18-12-2010,177,125,375,,,,,,
B12B0135,001,19-12-2010,178,126,374,,,,,,
B12B0135,001,20-12-2010,180,128,372,,,,,,
B12B0135,001,21-12-2010,181,129,371,,,,,,
B12B0135,001,22-12-2010,181,129,371,,,,,,
B12B0135,001,23-12-2010,182,130,370,,,,,,
B12B0135,001,24-12-2010,182,130,370,,,,,,
B12B0135,001,25-12-2010,184,132,368,,,,,,
B12B0135,001,26-12-2010,184,132,368,,,,,,
B12B0135,001,27-12-2010,183,131,369,,,,,,
B12B0135,001,28-12-2010,183,131,369,,,,,,
B12B0135,001,29-12-2010,184,132,368,,,,,,
B12B0135,001,30-12-2010,185,133,367,,,,,,
B12B0135,001,31-12-2010,183,131,369,,,,,,
B12B0135,001,01-01-2011,177,125,375,,,,,,
B12B0135,001,02-01-2011,178,126,374,,,,,,
B12B0135,001,03-01-2011,179,127,373,,,,,,
B12B0135,001,04-01-2011,179,127,373,,,,,,
B12B0135,001,05-01-2011,180,128,372,,,,,,
B12B0135,001,06-01-2011,178,126,374,,,,,,
B12B0135,001,07-01-2011,175,123,377,,,,,,
B12B0135,001,08-01-2011,174,122,378,,,,,,
B12B0135,001,09-01-2011,175,123,377,,,,,,
B12B0135,001,10-01-2011,177,125,375,,,,,,
B12B0135,001,11-01-2011,175,123,377,,,,,,
B12B0135,001,12-01-2011,177,125,375,,,,,,
B12B0135,001,13-01-2011,174,122,378,,,,,,
B12B0135,001,14-01-2011,171,119,381,,,,,,
B12B0135,001,15-01-2011,169,117,383,,,,,,
B12B0135,001,16-01-2011,170,118,382,,,,,,
B12B0135,001,17-01-2011,171,119,381,,,,,,
B12B0135,001,18-01-2011,172,120,380,,,,,,
B12B0135,001,19-01-2011,172,120,380,,,,,,
B12B0135,001,20-01-2011,173,121,379,,,,,,
B12B0135,001,21-01-2011,173,121,379,,,,,,
B12B0135,001,22-01-2011,172,120,380,,,,,,
B12B0135,001,23-01-2011,173,121,379,,,,,,
B12B0135,001,24-01-2011,173,121,379,,,,,,
B12B0135,001,25-01-2011,170,118,382,,,,,,
B12B0135,001,26-01-2011,172,120,380,,,,,,
B12B0135,001,27-01-2011,174,122,378,,,,,,
B12B0135,001,28-01-2011,175,123,377,,,,,,
B12B0135,001,29-01-2011,176,124,376,,,,,,
B12B0135,001,30-01-2011,176,124,376,,,,,,
B12B0135,001,31-01-2011,176,124,376,,,,,,
B12B0135,001,01-02-2011,176,124,376,,,,,,
B12B0135,001,02-02-2011,177,125,375,,,,,,
B12B0135,001,03-02-2011,176,124,376,,,,,,
B12B0135,001,04-02-2011,174,122,378,,,,,,
B12B0135,001,05-02-2011,173,121,379,,,,,,
B12B0135,001,06-02-2011,173,121,379,,,,,,
B12B0135,001,07-02-2011,174,122,378,,,,,,
B12B0135,001,08-02-2011,177,125,375,,,,,,
B12B0135,001,09-02-2011,177,125,375,,,,,,
B12B0135,001,10-02-2011,177,125,375,,,,,,
B12B0135,001,11-02-2011,176,124,376,,,,,,
B12B0135,001,12-02-2011,176,124,376,,,,,,
B12B0135,001,13-02-2011,173,121,379,,,,,,
B12B0135,001,14-02-2011,174,122,378,,,,,,
B12B0135,001,15-02-2011,168,116,384,,,,,,
B12B0135,001,16-02-2011,170,118,382,,,,,,
B12B0135,001,17-02-2011,172,120,380,,,,,,
B12B0135,001,18-02-2011,173,121,379,,,,,,
B12B0135,001,19-02-2011,174,122,378,,,,,,
B12B0135,001,20-02-2011,175,123,377,,,,,,
B12B0135,001,21-02-2011,176,124,376,,,,,,
B12B0135,001,22-02-2011,177,125,375,,,,,,
B12B0135,001,23-02-2011,177,125,375,,,,,,
B12B0135,001,24-02-2011,177,125,375,,,,,,
B12B0135,001,25-02-2011,177,125,375,,,,,,
B12B0135,001,26-02-2011,175,123,377,,,,,,
B12B0135,001,27-02-2011,176,124,376,,,,,,
B12B0135,001,28-02-2011,177,125,375,,,,,,
B12B0135,001,01-03-2011,179,127,373,,,,,,
B12B0135,001,02-03-2011,178,126,374,,,,,,
B12B0135,001,03-03-2011,179,127,373,,,,,,
B12B0135,001,04-03-2011,179,127,373,,,,,,
B12B0135,001,05-03-2011,179,127,373,,,,,,
B12B0135,001,06-03-2011,180,128,372,,,,,,
B12B0135,001,07-03-2011,181,129,371,,,,,,
B12B0135,001,08-03-2011,180,128,372,,,,,,
B12B0135,001,09-03-2011,179,127,373,,,,,,
B12B0135,001,10-03-2011,179,127,373,,,,,,
B12B0135,001,11-03-2011,180,128,372,,,,,,
B12B0135,001,12-03-2011,180,128,372,,,,,,
B12B0135,001,13-03-2011,181,129,371,,,,,,
B12B0135,001,14-03-2011,181,129,371,,,,,,
B12B0135,001,15-03-2011,181,129,371,,,,,,
B12B0135,001,16-03-2011,181,129,371,,,,,,
B12B0135,001,17-03-2011,182,130,370,,,,,,
B12B0135,001,18-03-2011,184,132,368,,,,,,
B12B0135,001,19-03-2011,185,133,367,,,,,,
B12B0135,001,20-03-2011,185,133,367,,,,,,
B12B0135,001,21-03-2011,186,134,366,,,,,,
B12B0135,001,22-03-2011,187,135,365,,,,,,
B12B0135,001,23-03-2011,187,135,365,,,,,,
B12B0135,001,24-03-2011,187,135,365,,,,,,
B12B0135,001,25-03-2011,185,133,367,,,,,,
B12B0135,001,26-03-2011,186,134,366,,,,,,
B12B0135,001,27-03-2011,186,134,366,,,,,,
B12B0135,001,28-03-2011,187,135,365,,,,,,
B12B0135,001,29-03-2011,188,136,364,,,,,,
B12B0135,001,30-03-2011,188,136,364,,,,,,
B12B0135,001,31-03-2011,185,133,367,,,,,,
B12B0135,001,01-04-2011,186,134,366,,,,,,
B12B0135,001,02-04-2011,186,134,366,,,,,,
B12B0135,001,03-04-2011,187,135,365,,,,,,
B12B0135,001,04-04-2011,188,136,364,,,,,,
B12B0135,001,05-04-2011,188,136,364,,,,,,
B12B0135,001,06-04-2011,189,137,363,,,,,,
B12B0135,001,07-04-2011,190,138,362,,,,,,
B12B0135,001,08-04-2011,190,138,362,,,,,,
B12B0135,001,09-04-2011,191,139,361,,,,,,
B12B0135,001,10-04-2011,192,140,360,,,,,,
B12B0135,001,11-04-2011,191,139,361,,,,,,
B12B0135,001,12-04-2011,191,139,361,,,,,,
B12B0135,001,13-04-2011,192,140,360,,,,,,
B12B0135,001,14-04-2011,192,140,360,,,,,,
B12B0135,001,15-04-2011,193,141,359,,,,,,
B12B0135,001,16-04-2011,194,142,358,,,,,,
B12B0135,001,17-04-2011,195,143,357,,,,,,
B12B0135,001,18-04-2011,194,142,358,,,,,,
B12B0135,001,19-04-2011,195,143,357,,,,,,
B12B0135,001,20-04-2011,196,144,356,,,,,,
B12B0135,001,21-04-2011,197,145,355,,,,,,
B12B0135,001,22-04-2011,197,145,355,,,,,,
B12B0135,001,23-04-2011,198,146,354,,,,,,
B12B0135,001,24-04-2011,199,147,353,,,,,,
B12B0135,001,25-04-2011,200,148,352,,,,,,
B12B0135,001,26-04-2011,200,148,352,,,,,,
B12B0135,001,27-04-2011,200,148,352,,,,,,
B12B0135,001,28-04-2011,200,148,352,,,,,,
B12B0135,001,29-04-2011,201,149,351,,,,,,
B12B0135,001,30-04-2011,202,150,350,,,,,,
