Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,17-11-2010,tot:,07-08-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B12B0135,002,12BA3135,239950,567025,180,22-08-1983,22-08-1983,07-08-2019,548,48,-900,-1100


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B12B0135,002,17-11-2010,179,131,369,,,,,,
B12B0135,002,18-11-2010,179,131,369,,,,,,
B12B0135,002,19-11-2010,180,132,368,,,,,,
B12B0135,002,20-11-2010,180,132,368,,,,,,
B12B0135,002,21-11-2010,180,132,368,,,,,,
B12B0135,002,22-11-2010,180,132,368,,,,,,
B12B0135,002,23-11-2010,180,132,368,,,,,,
B12B0135,002,24-11-2010,179,131,369,,,,,,
B12B0135,002,25-11-2010,179,131,369,,,,,,
B12B0135,002,26-11-2010,180,132,368,,,,,,
B12B0135,002,27-11-2010,180,132,368,,,,,,
B12B0135,002,28-11-2010,181,133,367,,,,,,
B12B0135,002,29-11-2010,182,134,366,,,,,,
B12B0135,002,30-11-2010,182,134,366,,,,,,
B12B0135,002,01-12-2010,182,134,366,,,,,,
B12B0135,002,02-12-2010,183,135,365,,,,,,
B12B0135,002,03-12-2010,182,134,366,,,,,,
B12B0135,002,04-12-2010,183,135,365,,,,,,
B12B0135,002,05-12-2010,181,133,367,,,,,,
B12B0135,002,06-12-2010,181,133,367,,,,,,
B12B0135,002,07-12-2010,182,134,366,,,,,,
B12B0135,002,08-12-2010,182,134,366,,,,,,
B12B0135,002,09-12-2010,184,136,364,,,,,,
B12B0135,002,10-12-2010,183,135,365,,,,,,
B12B0135,002,11-12-2010,177,129,371,,,,,,
B12B0135,002,12-12-2010,176,128,372,,,,,,
B12B0135,002,13-12-2010,178,130,370,,,,,,
B12B0135,002,14-12-2010,179,131,369,,,,,,
B12B0135,002,15-12-2010,179,131,369,,,,,,
B12B0135,002,16-12-2010,176,128,372,,,,,,
B12B0135,002,17-12-2010,175,127,373,,,,,,
B12B0135,002,18-12-2010,177,129,371,,,,,,
B12B0135,002,19-12-2010,178,130,370,,,,,,
B12B0135,002,20-12-2010,179,131,369,,,,,,
B12B0135,002,21-12-2010,180,132,368,,,,,,
B12B0135,002,22-12-2010,180,132,368,,,,,,
B12B0135,002,23-12-2010,180,132,368,,,,,,
B12B0135,002,24-12-2010,181,133,367,,,,,,
B12B0135,002,25-12-2010,182,134,366,,,,,,
B12B0135,002,26-12-2010,182,134,366,,,,,,
B12B0135,002,27-12-2010,181,133,367,,,,,,
B12B0135,002,28-12-2010,182,134,366,,,,,,
B12B0135,002,29-12-2010,183,135,365,,,,,,
B12B0135,002,30-12-2010,183,135,365,,,,,,
B12B0135,002,31-12-2010,182,134,366,,,,,,
B12B0135,002,01-01-2011,178,130,370,,,,,,
B12B0135,002,02-01-2011,178,130,370,,,,,,
B12B0135,002,03-01-2011,179,131,369,,,,,,
B12B0135,002,04-01-2011,178,130,370,,,,,,
B12B0135,002,05-01-2011,179,131,369,,,,,,
B12B0135,002,06-01-2011,177,129,371,,,,,,
B12B0135,002,07-01-2011,176,128,372,,,,,,
B12B0135,002,08-01-2011,173,125,375,,,,,,
B12B0135,002,09-01-2011,174,126,374,,,,,,
B12B0135,002,10-01-2011,176,128,372,,,,,,
B12B0135,002,11-01-2011,175,127,373,,,,,,
B12B0135,002,12-01-2011,176,128,372,,,,,,
B12B0135,002,13-01-2011,173,125,375,,,,,,
B12B0135,002,14-01-2011,171,123,377,,,,,,
B12B0135,002,15-01-2011,169,121,379,,,,,,
B12B0135,002,16-01-2011,170,122,378,,,,,,
B12B0135,002,17-01-2011,171,123,377,,,,,,
B12B0135,002,18-01-2011,171,123,377,,,,,,
B12B0135,002,19-01-2011,172,124,376,,,,,,
B12B0135,002,20-01-2011,172,124,376,,,,,,
B12B0135,002,21-01-2011,172,124,376,,,,,,
B12B0135,002,22-01-2011,171,123,377,,,,,,
B12B0135,002,23-01-2011,171,123,377,,,,,,
B12B0135,002,24-01-2011,172,124,376,,,,,,
B12B0135,002,25-01-2011,170,122,378,,,,,,
B12B0135,002,26-01-2011,171,123,377,,,,,,
B12B0135,002,27-01-2011,173,125,375,,,,,,
B12B0135,002,28-01-2011,174,126,374,,,,,,
B12B0135,002,29-01-2011,174,126,374,,,,,,
B12B0135,002,30-01-2011,174,126,374,,,,,,
B12B0135,002,31-01-2011,175,127,373,,,,,,
B12B0135,002,01-02-2011,175,127,373,,,,,,
B12B0135,002,02-02-2011,175,127,373,,,,,,
B12B0135,002,03-02-2011,174,126,374,,,,,,
B12B0135,002,04-02-2011,172,124,376,,,,,,
B12B0135,002,05-02-2011,171,123,377,,,,,,
B12B0135,002,06-02-2011,172,124,376,,,,,,
B12B0135,002,07-02-2011,172,124,376,,,,,,
B12B0135,002,08-02-2011,174,126,374,,,,,,
B12B0135,002,09-02-2011,175,127,373,,,,,,
B12B0135,002,10-02-2011,174,126,374,,,,,,
B12B0135,002,11-02-2011,173,125,375,,,,,,
B12B0135,002,12-02-2011,174,126,374,,,,,,
B12B0135,002,13-02-2011,171,123,377,,,,,,
B12B0135,002,14-02-2011,172,124,376,,,,,,
B12B0135,002,15-02-2011,168,120,380,,,,,,
B12B0135,002,16-02-2011,169,121,379,,,,,,
B12B0135,002,17-02-2011,170,122,378,,,,,,
B12B0135,002,18-02-2011,172,124,376,,,,,,
B12B0135,002,19-02-2011,172,124,376,,,,,,
B12B0135,002,20-02-2011,173,125,375,,,,,,
B12B0135,002,21-02-2011,174,126,374,,,,,,
B12B0135,002,22-02-2011,174,126,374,,,,,,
B12B0135,002,23-02-2011,175,127,373,,,,,,
B12B0135,002,24-02-2011,175,127,373,,,,,,
B12B0135,002,25-02-2011,174,126,374,,,,,,
B12B0135,002,26-02-2011,172,124,376,,,,,,
B12B0135,002,27-02-2011,173,125,375,,,,,,
B12B0135,002,28-02-2011,175,127,373,,,,,,
B12B0135,002,01-03-2011,176,128,372,,,,,,
B12B0135,002,02-03-2011,176,128,372,,,,,,
B12B0135,002,03-03-2011,176,128,372,,,,,,
B12B0135,002,04-03-2011,176,128,372,,,,,,
B12B0135,002,05-03-2011,176,128,372,,,,,,
B12B0135,002,06-03-2011,177,129,371,,,,,,
B12B0135,002,07-03-2011,177,129,371,,,,,,
B12B0135,002,08-03-2011,177,129,371,,,,,,
B12B0135,002,09-03-2011,176,128,372,,,,,,
B12B0135,002,10-03-2011,175,127,373,,,,,,
B12B0135,002,11-03-2011,176,128,372,,,,,,
B12B0135,002,12-03-2011,176,128,372,,,,,,
B12B0135,002,13-03-2011,176,128,372,,,,,,
B12B0135,002,14-03-2011,177,129,371,,,,,,
B12B0135,002,15-03-2011,177,129,371,,,,,,
B12B0135,002,16-03-2011,177,129,371,,,,,,
B12B0135,002,17-03-2011,178,130,370,,,,,,
B12B0135,002,18-03-2011,179,131,369,,,,,,
B12B0135,002,19-03-2011,181,133,367,,,,,,
B12B0135,002,20-03-2011,181,133,367,,,,,,
B12B0135,002,21-03-2011,181,133,367,,,,,,
B12B0135,002,22-03-2011,182,134,366,,,,,,
B12B0135,002,23-03-2011,182,134,366,,,,,,
B12B0135,002,24-03-2011,182,134,366,,,,,,
B12B0135,002,25-03-2011,180,132,368,,,,,,
B12B0135,002,26-03-2011,181,133,367,,,,,,
B12B0135,002,27-03-2011,182,134,366,,,,,,
B12B0135,002,28-03-2011,183,135,365,,,,,,
B12B0135,002,29-03-2011,183,135,365,,,,,,
B12B0135,002,30-03-2011,183,135,365,,,,,,
B12B0135,002,31-03-2011,180,132,368,,,,,,
B12B0135,002,01-04-2011,181,133,367,,,,,,
B12B0135,002,02-04-2011,181,133,367,,,,,,
B12B0135,002,03-04-2011,181,133,367,,,,,,
B12B0135,002,04-04-2011,183,135,365,,,,,,
B12B0135,002,05-04-2011,183,135,365,,,,,,
B12B0135,002,06-04-2011,184,136,364,,,,,,
B12B0135,002,07-04-2011,184,136,364,,,,,,
B12B0135,002,08-04-2011,185,137,363,,,,,,
B12B0135,002,09-04-2011,186,138,362,,,,,,
B12B0135,002,10-04-2011,186,138,362,,,,,,
B12B0135,002,11-04-2011,185,137,363,,,,,,
B12B0135,002,12-04-2011,186,138,362,,,,,,
B12B0135,002,13-04-2011,187,139,361,,,,,,
B12B0135,002,14-04-2011,187,139,361,,,,,,
B12B0135,002,15-04-2011,188,140,360,,,,,,
B12B0135,002,16-04-2011,188,140,360,,,,,,
B12B0135,002,17-04-2011,189,141,359,,,,,,
B12B0135,002,18-04-2011,189,141,359,,,,,,
B12B0135,002,19-04-2011,189,141,359,,,,,,
B12B0135,002,20-04-2011,190,142,358,,,,,,
B12B0135,002,21-04-2011,190,142,358,,,,,,
B12B0135,002,22-04-2011,191,143,357,,,,,,
B12B0135,002,23-04-2011,192,144,356,,,,,,
B12B0135,002,24-04-2011,192,144,356,,,,,,
B12B0135,002,25-04-2011,193,145,355,,,,,,
B12B0135,002,26-04-2011,194,146,354,,,,,,
B12B0135,002,27-04-2011,195,147,353,,,,,,
B12B0135,002,28-04-2011,195,147,353,,,,,,
B12B0135,002,29-04-2011,195,147,353,,,,,,
B12B0135,002,30-04-2011,196,148,352,,,,,,
