Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,15-04-1997,tot:,09-10-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17B0261,001,17BP7084,238424,547230,1439,12-03-1997,12-03-1997,09-10-2019,1483,48,1281,1231


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17B0261,001,15-04-1997,91,43,1392,,,,,,
B17B0261,001,28-04-1997,73,25,1410,,,,,,
B17B0261,001,13-05-1997,80,32,1403,,,,,,
B17B0261,001,28-05-1997,89,41,1394,,,,,,
B17B0261,001,16-06-1997,100,52,1383,,,,,,
B17B0261,001,30-06-1997,55,7,1428,,,,,,
B17B0261,001,14-07-1997,91,43,1392,,,,,,
B17B0261,001,29-07-1997,95,47,1388,,,,,,
B17B0261,001,14-08-1997,,,,N,,,,,
B17B0261,001,28-08-1997,,,,N,,,,,
B17B0261,001,15-09-1997,130,82,1353,,,,,,
B17B0261,001,29-09-1997,121,73,1362,,,,,,
B17B0261,001,14-10-1997,66,18,1417,,,,,,
B17B0261,001,28-10-1997,109,61,1374,,,,,,
B17B0261,001,17-11-1997,109,61,1374,,,,,,
B17B0261,001,01-12-1997,113,65,1370,,,,,,
B17B0261,001,15-12-1997,73,25,1410,,,,,,
B17B0261,001,30-12-1997,50,2,1433,,,,,,
B17B0261,001,14-01-1998,50,2,1433,,,,,,
B17B0261,001,28-01-1998,52,4,1431,,,,,,
B17B0261,001,16-02-1998,70,22,1413,,,,,,
B17B0261,001,28-02-1998,50,2,1433,,,,,,
B17B0261,001,16-03-1998,43,-5,1440,,,,,,
B17B0261,001,30-03-1998,62,14,1421,,,,,,
B17B0261,001,15-04-1998,44,-4,1439,,,,,,
B17B0261,001,28-04-1998,43,-5,1440,,,,,,
B17B0261,001,13-05-1998,60,12,1423,,,,,,
B17B0261,001,27-05-1998,84,36,1399,,,,,,
B17B0261,001,15-06-1998,74,26,1409,,,,,,
B17B0261,001,29-06-1998,68,20,1415,,,,,,
B17B0261,001,14-07-1998,64,16,1419,,,,,,
B17B0261,001,28-07-1998,94,46,1389,,,,,,
B17B0261,001,14-08-1998,,,,N,,,,,
B17B0261,001,28-08-1998,,,,N,,,,,
B17B0261,001,15-09-1998,48,0,1435,,,,,,
B17B0261,001,28-09-1998,58,10,1425,,,,,,
B17B0261,001,14-10-1998,43,-5,1440,,,,,,
B17B0261,001,27-10-1998,40,-8,1443,,,,,,
B17B0261,001,16-11-1998,45,-3,1438,,,,,,
B17B0261,001,30-11-1998,48,0,1435,,,,,,
B17B0261,001,28-12-1998,,,,N,,,,,
B17B0261,001,13-01-1999,49,1,1434,,,,,,
B17B0261,001,28-01-1999,43,-5,1440,,,,,,
B17B0261,001,14-02-1999,,,,N,,,,,
B17B0261,001,01-03-1999,44,-4,1439,,,,,,
B17B0261,001,15-03-1999,53,5,1430,,,,,,
B17B0261,001,28-03-1999,65,17,1418,,,,,,
B17B0261,001,14-04-1999,53,5,1430,,,,,,
B17B0261,001,28-04-1999,84,36,1399,,,,,,
B17B0261,001,17-05-1999,93,45,1390,,,,,,
B17B0261,001,31-05-1999,102,54,1381,,,,,,
B17B0261,001,14-07-1999,108,60,1375,,,,,,
B17B0261,001,28-07-1999,112,64,1371,,,,,,
B17B0261,001,13-08-1999,115,67,1368,,,,,,
B17B0261,001,27-08-1999,110,62,1373,,,,,,
B17B0261,001,14-09-1999,121,73,1362,,,,,,
B17B0261,001,28-09-1999,110,62,1373,,,,,,
B17B0261,001,14-10-1999,100,52,1383,,,,,,
B17B0261,001,28-10-1999,114,66,1369,,,,,,
B17B0261,001,15-11-1999,115,67,1368,,,,,,
B17B0261,001,29-11-1999,100,52,1383,,,,,,
B17B0261,001,14-12-1999,45,-3,1438,,,,,,
B17B0261,001,28-12-1999,,,,N,,,,,
B17B0261,001,14-01-2000,49,1,1434,,,,,,
B17B0261,001,28-01-2000,44,-4,1439,,,,,,
B17B0261,001,14-03-2000,35,-13,1448,,,,,,
B17B0261,001,28-03-2000,45,-3,1438,,,,,,
B17B0261,001,14-04-2000,69,21,1414,,,,,,
B17B0261,001,28-04-2000,86,38,1397,,,,,,
B17B0261,001,15-05-2000,100,52,1383,,,,,,
B17B0261,001,29-05-2000,76,28,1407,,,,,,
B17B0261,001,14-06-2000,104,56,1379,,,,,,
B17B0261,001,28-06-2000,102,54,1381,,,,,,
B17B0261,001,14-07-2000,87,39,1396,,,,,,
B17B0261,001,27-07-2000,103,55,1380,,,,,,
B17B0261,001,15-08-2000,109,61,1374,,,,,,
B17B0261,001,28-08-2000,103,55,1380,,,,,,
B17B0261,001,15-09-2000,100,52,1383,,,,,,
B17B0261,001,29-09-2000,86,38,1397,,,,,,
B17B0261,001,16-10-2000,86,38,1397,,,,,,
B17B0261,001,30-10-2000,65,17,1418,,,,,,
B17B0261,001,12-12-2000,50,2,1433,,,,,,
B17B0261,001,27-12-2000,,,,Y,,,,,
B17B0261,001,09-01-2001,48,0,1435,,,,,,
B17B0261,001,31-01-2001,52,4,1431,,,,,,
B17B0261,001,16-02-2001,51,3,1432,,,,,,
B17B0261,001,28-02-2001,56,8,1427,,,,,,
B17B0261,001,18-04-2001,57,9,1426,,,,,,
B17B0261,001,27-04-2001,55,7,1428,,,,,,
B17B0261,001,14-08-2001,58,10,1425,,,,,,
B17B0261,001,28-08-2001,82,34,1401,,,,,,
B17B0261,001,14-09-2001,50,2,1433,,,,,,
B17B0261,001,28-09-2001,42,-6,1441,,,,,,
B17B0261,001,14-10-2001,50,2,1433,,,,,,
B17B0261,001,28-10-2001,60,12,1423,,,,,,
B17B0261,001,14-11-2001,49,1,1434,,,,,,
B17B0261,001,28-11-2001,48,0,1435,,,,,,
B17B0261,001,14-12-2001,60,12,1423,,,,,,
B17B0261,001,28-12-2001,50,2,1433,,,,,,
B17B0261,001,14-01-2002,53,5,1430,,,,,,
B17B0261,001,28-01-2002,41,-7,1442,,,,,,
B17B0261,001,14-02-2002,50,2,1433,,,,,,
B17B0261,001,28-02-2002,47,-1,1436,,,,,,
B17B0261,001,14-03-2002,60,12,1423,,,,,,
B17B0261,001,28-03-2002,66,18,1417,,,,,,
B17B0261,001,14-04-2002,83,35,1400,,,,,,
B17B0261,001,28-04-2002,50,2,1433,,,,,,
B17B0261,001,14-05-2002,84,36,1399,,,,,,
B17B0261,001,28-05-2002,90,42,1393,,,,,,
B17B0261,001,14-06-2002,80,32,1403,,,,,,
B17B0261,001,28-06-2002,94,46,1389,,,,,,
B17B0261,001,14-07-2002,96,48,1387,,,,,,
B17B0261,001,28-07-2002,98,50,1385,,,,,,
B17B0261,001,14-08-2002,75,27,1408,,,,,,
B17B0261,001,28-08-2002,80,32,1403,,,,,,
B17B0261,001,14-09-2002,88,40,1395,,,,,,
B17B0261,001,28-09-2002,95,47,1388,,,,,,
B17B0261,001,14-10-2002,97,49,1386,,,,,,
B17B0261,001,28-10-2002,70,22,1413,,,,,,
B17B0261,001,14-11-2002,52,4,1431,,,,,,
B17B0261,001,28-11-2002,60,12,1423,,,,,,
B17B0261,001,14-12-2002,85,37,1398,,,,,,
B17B0261,001,28-12-2002,45,-3,1438,,,,,,
B17B0261,001,14-01-2003,48,0,1435,,,,,,
B17B0261,001,28-01-2003,48,0,1435,,,,,,
B17B0261,001,14-02-2003,62,14,1421,,,,,,
B17B0261,001,28-02-2003,75,27,1408,,,,,,
