Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,15-04-1997,tot:,09-10-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17B0262,002,17BP7085,238702,547068,1536,12-03-1997,12-03-1997,09-10-2019,1592,56,1190,1140


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17B0262,002,15-04-1997,150,94,1442,,,,,,
B17B0262,002,28-04-1997,151,95,1441,,,,,,
B17B0262,002,13-05-1997,147,91,1445,,,,,,
B17B0262,002,28-05-1997,142,86,1450,,,,,,
B17B0262,002,16-06-1997,164,108,1428,,,,,,
B17B0262,002,30-06-1997,139,83,1453,,,,,,
B17B0262,002,14-07-1997,161,105,1431,,,,,,
B17B0262,002,29-07-1997,169,113,1423,,,,,,
B17B0262,002,14-08-1997,,,,N,,,,,
B17B0262,002,28-08-1997,,,,N,,,,,
B17B0262,002,15-09-1997,188,132,1404,,,,,,
B17B0262,002,29-09-1997,195,139,1397,,,,,,
B17B0262,002,14-10-1997,170,114,1422,,,,,,
B17B0262,002,28-10-1997,185,129,1407,,,,,,
B17B0262,002,17-11-1997,190,134,1402,,,,,,
B17B0262,002,01-12-1997,198,142,1394,,,,,,
B17B0262,002,15-12-1997,155,99,1437,,,,,,
B17B0262,002,30-12-1997,118,62,1474,,,,,,
B17B0262,002,14-01-1998,122,66,1470,,,,,,
B17B0262,002,28-01-1998,122,66,1470,,,,,,
B17B0262,002,16-02-1998,138,82,1454,,,,,,
B17B0262,002,28-02-1998,117,61,1475,,,,,,
B17B0262,002,16-03-1998,95,39,1497,,,,,,
B17B0262,002,30-03-1998,120,64,1472,,,,,,
B17B0262,002,15-04-1998,94,38,1498,,,,,,
B17B0262,002,28-04-1998,85,29,1507,,,,,,
B17B0262,002,13-05-1998,120,64,1472,,,,,,
B17B0262,002,27-05-1998,140,84,1452,,,,,,
B17B0262,002,15-06-1998,131,75,1461,,,,,,
B17B0262,002,29-06-1998,135,79,1457,,,,,,
B17B0262,002,14-07-1998,134,78,1458,,,,,,
B17B0262,002,28-07-1998,150,94,1442,,,,,,
B17B0262,002,14-08-1998,,,,N,,,,,
B17B0262,002,28-08-1998,,,,N,,,,,
B17B0262,002,15-09-1998,90,34,1502,,,,,,
B17B0262,002,28-09-1998,125,69,1467,,,,,,
B17B0262,002,14-10-1998,90,34,1502,,,,,,
B17B0262,002,27-10-1998,73,17,1519,,,,,,
B17B0262,002,16-11-1998,78,22,1514,,,,,,
B17B0262,002,30-11-1998,95,39,1497,,,,,,
B17B0262,002,28-12-1998,,,,N,,,,,
B17B0262,002,13-01-1999,84,28,1508,,,,,,
B17B0262,002,28-01-1999,70,14,1522,,,,,,
B17B0262,002,14-02-1999,,,,N,,,,,
B17B0262,002,01-03-1999,64,8,1528,,,,,,
B17B0262,002,15-03-1999,90,34,1502,,,,,,
B17B0262,002,28-03-1999,100,44,1492,,,,,,
B17B0262,002,14-04-1999,92,36,1500,,,,,,
B17B0262,002,28-04-1999,115,59,1477,,,,,,
B17B0262,002,17-05-1999,129,73,1463,,,,,,
B17B0262,002,31-05-1999,146,90,1446,,,,,,
B17B0262,002,14-07-1999,158,102,1434,,,,,,
B17B0262,002,28-07-1999,172,116,1420,,,,,,
B17B0262,002,13-08-1999,183,127,1409,,,,,,
B17B0262,002,27-08-1999,176,120,1416,,,,,,
B17B0262,002,14-09-1999,192,136,1400,,,,,,
B17B0262,002,28-09-1999,188,132,1404,,,,,,
B17B0262,002,14-10-1999,179,123,1413,,,,,,
B17B0262,002,28-10-1999,190,134,1402,,,,,,
B17B0262,002,15-11-1999,191,135,1401,,,,,,
B17B0262,002,29-11-1999,169,113,1423,,,,,,
B17B0262,002,14-12-1999,110,54,1482,,,,,,
B17B0262,002,28-12-1999,,,,N,,,,,
B17B0262,002,14-01-2000,105,49,1487,,,,,,
B17B0262,002,28-01-2000,98,42,1494,,,,,,
B17B0262,002,14-03-2000,81,25,1511,,,,,,
B17B0262,002,28-03-2000,80,24,1512,,,,,,
B17B0262,002,14-04-2000,107,51,1485,,,,,,
B17B0262,002,28-04-2000,121,65,1471,,,,,,
B17B0262,002,15-05-2000,137,81,1455,,,,,,
B17B0262,002,29-05-2000,128,72,1464,,,,,,
B17B0262,002,14-06-2000,151,95,1441,,,,,,
B17B0262,002,28-06-2000,156,100,1436,,,,,,
B17B0262,002,14-07-2000,156,100,1436,,,,,,
B17B0262,002,27-07-2000,162,106,1430,,,,,,
B17B0262,002,15-08-2000,173,117,1419,,,,,,
B17B0262,002,28-08-2000,170,114,1422,,,,,,
B17B0262,002,15-09-2000,167,111,1425,,,,,,
B17B0262,002,29-09-2000,148,92,1444,,,,,,
B17B0262,002,16-10-2000,154,98,1438,,,,,,
B17B0262,002,30-10-2000,130,74,1462,,,,,,
B17B0262,002,12-12-2000,100,44,1492,,,,,,
B17B0262,002,27-12-2000,,,,Y,,,,,
B17B0262,002,09-01-2001,95,39,1497,,,,,,
B17B0262,002,31-01-2001,106,50,1486,,,,,,
B17B0262,002,16-02-2001,92,36,1500,,,,,,
B17B0262,002,28-02-2001,104,48,1488,,,,,,
B17B0262,002,18-04-2001,98,42,1494,,,,,,
B17B0262,002,27-04-2001,99,43,1493,,,,,,
B17B0262,002,14-08-2001,124,68,1468,,,,,,
B17B0262,002,28-08-2001,142,86,1450,,,,,,
B17B0262,002,14-09-2001,111,55,1481,,,,,,
B17B0262,002,28-09-2001,75,19,1517,,,,,,
B17B0262,002,14-10-2001,92,36,1500,,,,,,
B17B0262,002,28-10-2001,109,53,1483,,,,,,
B17B0262,002,14-11-2001,80,24,1512,,,,,,
B17B0262,002,28-11-2001,95,39,1497,,,,,,
B17B0262,002,14-12-2001,95,39,1497,,,,,,
B17B0262,002,28-12-2001,84,28,1508,,,,,,
B17B0262,002,14-01-2002,90,34,1502,,,,,,
B17B0262,002,28-01-2002,71,15,1521,,,,,,
B17B0262,002,14-02-2002,75,19,1517,,,,,,
B17B0262,002,28-02-2002,69,13,1523,,,,,,
B17B0262,002,14-03-2002,90,34,1502,,,,,,
B17B0262,002,28-03-2002,95,39,1497,,,,,,
B17B0262,002,14-04-2002,116,60,1476,,,,,,
B17B0262,002,28-04-2002,86,30,1506,,,,,,
B17B0262,002,14-05-2002,114,58,1478,,,,,,
B17B0262,002,28-05-2002,130,74,1462,,,,,,
B17B0262,002,14-06-2002,132,76,1460,,,,,,
B17B0262,002,28-06-2002,145,89,1447,,,,,,
B17B0262,002,14-07-2002,149,93,1443,,,,,,
B17B0262,002,28-07-2002,165,109,1427,,,,,,
B17B0262,002,14-08-2002,140,84,1452,,,,,,
B17B0262,002,28-08-2002,135,79,1457,,,,,,
B17B0262,002,14-09-2002,144,88,1448,,,,,,
B17B0262,002,28-09-2002,156,100,1436,,,,,,
B17B0262,002,14-10-2002,162,106,1430,,,,,,
B17B0262,002,28-10-2002,140,84,1452,,,,,,
B17B0262,002,14-11-2002,104,48,1488,,,,,,
B17B0262,002,28-11-2002,110,54,1482,,,,,,
B17B0262,002,14-12-2002,134,78,1458,,,,,,
B17B0262,002,28-12-2002,75,19,1517,,,,,,
B17B0262,002,14-01-2003,82,26,1510,,,,,,
B17B0262,002,28-01-2003,88,32,1504,,,,,,
B17B0262,002,14-02-2003,101,45,1491,,,,,,
B17B0262,002,28-02-2003,115,59,1477,,,,,,
B17B0262,002,14-03-2003,101,45,1491,,,,,,
