Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,28-11-1991,tot:,20-08-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B12B0167,001,12BP0167,237050,566360,937,07-11-1991,07-11-1991,03-10-1996,1015,78,787,687
B12B0167,001,12BP0167,237050,566360,930,03-10-1996,03-10-1996,17-07-2006,1014,84,787,687
B12B0167,001,12BP0167,237050,566360,925,17-07-2006,17-07-2006,20-08-2019,1010,85,787,687


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B12B0167,001,28-11-1991,185,107,830,,,,,,
B12B0167,001,13-12-1991,198,120,817,,,,,,
B12B0167,001,27-12-1991,151,73,864,,,,,,
B12B0167,001,14-01-1992,141,63,874,,,,,,
B12B0167,001,28-01-1992,158,80,857,,,,,,
B12B0167,001,14-02-1992,140,62,875,,,,,,
B12B0167,001,28-02-1992,141,63,874,,,,,,
B12B0167,001,13-03-1992,100,22,915,,,,,,
B12B0167,001,27-03-1992,122,44,893,,,,,,
B12B0167,001,14-04-1992,132,54,883,,,,,,
B12B0167,001,28-04-1992,127,49,888,,,,,,
B12B0167,001,14-05-1992,131,53,884,,,,,,
B12B0167,001,27-05-1992,190,112,825,,,,,,
B12B0167,001,15-06-1992,213,135,802,,,,,,
B12B0167,001,29-06-1992,240,162,775,,,,,,
B12B0167,001,14-07-1992,257,179,758,,,,,,
B12B0167,001,28-07-1992,268,190,747,,,,,,
B12B0167,001,14-08-1992,285,207,730,,,,,,
B12B0167,001,28-08-1992,294,216,721,,,,,,
B12B0167,001,14-09-1992,261,183,754,,,,,,
B12B0167,001,28-09-1992,275,197,740,,,,,,
B12B0167,001,14-10-1992,285,207,730,,,,,,
B12B0167,001,28-10-1992,256,178,759,,,,,,
B12B0167,001,13-11-1992,218,140,797,,,,,,
B12B0167,001,27-11-1992,151,73,864,,,,,,
B12B0167,001,14-12-1992,131,53,884,,,,,,
B12B0167,001,28-12-1992,151,73,864,,,,,,
B12B0167,001,14-01-1993,126,48,889,,,,,,
B12B0167,001,28-01-1993,110,32,905,,,,,,
B12B0167,001,15-02-1993,138,60,877,,,,,,
B12B0167,001,01-03-1993,126,48,889,,,,,,
B12B0167,001,15-03-1993,140,62,875,,,,,,
B12B0167,001,29-03-1993,155,77,860,,,,,,
B12B0167,001,14-04-1993,150,72,865,,,,,,
B12B0167,001,28-04-1993,161,83,854,,,,,,
B12B0167,001,14-05-1993,199,121,816,,,,,,
B12B0167,001,28-05-1993,170,92,845,,,,,,
B12B0167,001,14-06-1993,219,141,796,,,,,,
B12B0167,001,28-06-1993,232,154,783,,,,,,
B12B0167,001,14-07-1993,250,172,765,,,,,,
B12B0167,001,28-07-1993,212,134,803,,,,,,
B12B0167,001,13-08-1993,184,106,831,,,,,,
B12B0167,001,27-08-1993,189,111,826,,,,,,
B12B0167,001,14-09-1993,155,77,860,,,,,,
B12B0167,001,28-09-1993,128,50,887,,,,,,
B12B0167,001,14-10-1993,88,10,927,,,,,,
B12B0167,001,28-10-1993,134,56,881,,,,,,
B12B0167,001,15-11-1993,96,18,919,,,,,,
B12B0167,001,29-11-1993,145,67,870,,,,,,
B12B0167,001,14-12-1993,91,13,924,,,,,,
B12B0167,001,14-01-1994,109,31,906,,,,,,
B12B0167,001,28-01-1994,91,13,924,,,,,,
B12B0167,001,14-02-1994,139,61,876,,,,,,
B12B0167,001,28-02-1994,124,46,891,,,,,,
B12B0167,001,14-03-1994,100,22,915,,,,,,
B12B0167,001,28-03-1994,101,23,914,,,,,,
B12B0167,001,14-04-1994,124,46,891,,,,,,
B12B0167,001,28-04-1994,142,64,873,,,,,,
B12B0167,001,16-05-1994,105,27,910,,,,,,
B12B0167,001,14-06-1994,151,73,864,,,,,,
B12B0167,001,28-06-1994,190,112,825,,,,,,
B12B0167,001,14-07-1994,195,117,820,,,,,,
B12B0167,001,28-07-1994,210,132,805,,,,,,
B12B0167,001,15-08-1994,225,147,790,,,,,,
B12B0167,001,29-08-1994,243,165,772,,,,,,
B12B0167,001,14-09-1994,228,150,787,,,,,,
B12B0167,001,28-09-1994,190,112,825,,,,,,
B12B0167,001,14-10-1994,194,116,821,,,,,,
B12B0167,001,28-10-1994,185,107,830,,,,,,
B12B0167,001,14-11-1994,135,57,880,,,,,,
B12B0167,001,28-11-1994,125,47,890,,,,,,
B12B0167,001,14-12-1994,110,32,905,,,,,,
B12B0167,001,02-01-1995,92,14,923,,,,,,
B12B0167,001,13-01-1995,101,23,914,,,,,,
B12B0167,001,27-01-1995,91,13,924,,,,,,
B12B0167,001,14-02-1995,103,25,912,,,,,,
B12B0167,001,27-02-1995,116,38,899,,,,,,
B12B0167,001,14-03-1995,122,44,893,,,,,,
B12B0167,001,28-03-1995,91,13,924,,,,,,
B12B0167,001,13-04-1995,141,63,874,,,,,,
B12B0167,001,27-04-1995,146,68,869,,,,,,
B12B0167,001,15-05-1995,179,101,836,,,,,,
B12B0167,001,29-05-1995,105,27,910,,,,,,
B12B0167,001,14-06-1995,103,25,912,,,,,,
B12B0167,001,28-06-1995,170,92,845,,,,,,
B12B0167,001,14-07-1995,195,117,820,,,,,,
B12B0167,001,28-07-1995,170,92,845,,,,,,
B12B0167,001,14-08-1995,234,156,781,,,,,,
B12B0167,001,28-08-1995,240,162,775,,,,,,
B12B0167,001,14-09-1995,210,132,805,,,,,,
B12B0167,001,28-09-1995,208,130,807,,,,,,
B12B0167,001,13-10-1995,205,127,810,,,,,,
B12B0167,001,27-10-1995,225,147,790,,,,,,
B12B0167,001,14-11-1995,217,139,798,,,,,,
B12B0167,001,28-11-1995,190,112,825,,,,,,
B12B0167,001,15-12-1995,204,126,811,,,,,,
B12B0167,001,28-12-1995,186,108,829,,,,,,
B12B0167,001,15-01-1996,200,122,815,,,,,,
B12B0167,001,29-01-1996,220,142,795,,,,,,
B12B0167,001,14-02-1996,220,142,795,,,,,,
B12B0167,001,28-02-1996,161,83,854,,,,,,
B12B0167,001,14-03-1996,171,93,844,,,,,,
B12B0167,001,28-03-1996,175,97,840,,,,,,
B12B0167,001,15-04-1996,191,113,824,,,,,,
B12B0167,001,29-04-1996,206,128,809,,,,,,
B12B0167,001,14-05-1996,218,140,797,,,,,,
B12B0167,001,28-05-1996,218,140,797,,,,,,
B12B0167,001,13-06-1996,244,166,771,,,,,,
B12B0167,001,27-06-1996,259,181,756,,,,,,
B12B0167,001,15-07-1996,264,186,751,,,,,,
B12B0167,001,29-07-1996,276,198,739,,,,,,
B12B0167,001,14-08-1996,290,212,725,,,,,,
B12B0167,001,28-08-1996,296,218,719,,,,,,
B12B0167,001,13-09-1996,280,202,735,,,,,,
B12B0167,001,27-09-1996,282,204,733,,,,,,
B12B0167,001,14-10-1996,268,184,746,,,,,,
B12B0167,001,28-10-1996,266,182,748,,,,,,
B12B0167,001,14-11-1996,229,145,785,,,,,,
B12B0167,001,28-11-1996,180,96,834,,,,,,
B12B0167,001,13-12-1996,158,74,856,,,,,,
B12B0167,001,27-12-1996,170,86,844,,,,,,
B12B0167,001,13-01-1997,204,120,810,,,,,,
B12B0167,001,28-01-1997,175,91,839,,,,,,
B12B0167,001,14-02-1997,130,46,884,,,,,,
B12B0167,001,28-02-1997,126,42,888,,,,,,
B12B0167,001,14-03-1997,144,60,870,,,,,,
B12B0167,001,27-03-1997,141,57,873,,,,,,
B12B0167,001,14-04-1997,160,76,854,,,,,,
B12B0167,001,28-04-1997,175,91,839,,,,,,
B12B0167,001,14-05-1997,138,54,876,,,,,,
B12B0167,001,28-05-1997,160,76,854,,,,,,
B12B0167,001,13-06-1997,192,108,822,,,,,,
B12B0167,001,27-06-1997,172,88,842,,,,,,
B12B0167,001,14-07-1997,206,122,808,,,,,,
