Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,15-04-1997,tot:,29-05-2012,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17B0263,001,17BP7086,238973,546888,1623,11-03-1997,11-03-1997,31-12-2012,1673,48,1475,1425


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17B0263,001,15-04-1997,199,151,1474,,,,,,
B17B0263,001,28-04-1997,201,153,1472,,,,,,
B17B0263,001,13-05-1997,191,143,1482,,,,,,
B17B0263,001,28-05-1997,193,145,1480,,,,,,
B17B0263,001,16-06-1997,222,174,1451,,,,,,
B17B0263,001,30-06-1997,212,164,1461,,,,,,
B17B0263,001,14-07-1997,230,182,1443,,,,,,
B17B0263,001,29-07-1997,238,190,1435,,,,,,
B17B0263,001,14-08-1997,,,,N,,,,,
B17B0263,001,28-08-1997,,,,N,,,,,
B17B0263,001,15-09-1997,,,,D,,,,,
B17B0263,001,29-09-1997,,,,D,,,,,
B17B0263,001,14-10-1997,,,,D,,,,,
B17B0263,001,28-10-1997,,,,D,,,,,
B17B0263,001,17-11-1997,,,,D,,,,,
B17B0263,001,01-12-1997,,,,D,,,,,
B17B0263,001,15-12-1997,239,191,1434,,,,,,
B17B0263,001,30-12-1997,176,128,1497,,,,,,
B17B0263,001,14-01-1998,162,114,1511,,,,,,
B17B0263,001,28-01-1998,165,117,1508,,,,,,
B17B0263,001,16-02-1998,185,137,1488,,,,,,
B17B0263,001,28-02-1998,179,131,1494,,,,,,
B17B0263,001,16-03-1998,123,75,1550,,,,,,
B17B0263,001,30-03-1998,160,112,1513,,,,,,
B17B0263,001,15-04-1998,124,76,1549,,,,,,
B17B0263,001,28-04-1998,112,64,1561,,,,,,
B17B0263,001,13-05-1998,155,107,1518,,,,,,
B17B0263,001,27-05-1998,194,146,1479,,,,,,
B17B0263,001,15-06-1998,190,142,1483,,,,,,
B17B0263,001,29-06-1998,206,158,1467,,,,,,
B17B0263,001,14-07-1998,202,154,1471,,,,,,
B17B0263,001,28-07-1998,213,165,1460,,,,,,
B17B0263,001,14-08-1998,,,,N,,,,,
B17B0263,001,28-08-1998,,,,N,,,,,
B17B0263,001,15-09-1998,210,162,1463,,,,,,
B17B0263,001,28-09-1998,181,133,1492,,,,,,
B17B0263,001,14-10-1998,139,91,1534,,,,,,
B17B0263,001,27-10-1998,99,51,1574,,,,,,
B17B0263,001,16-11-1998,110,62,1563,,,,,,
B17B0263,001,30-11-1998,132,84,1541,,,,,,
B17B0263,001,28-12-1998,,,,N,,,,,
B17B0263,001,13-01-1999,117,69,1556,,,,,,
B17B0263,001,28-01-1999,84,36,1589,,,,,,
B17B0263,001,14-02-1999,,,,N,,,,,
B17B0263,001,01-03-1999,78,30,1595,,,,,,
B17B0263,001,15-03-1999,124,76,1549,,,,,,
B17B0263,001,28-03-1999,135,87,1538,,,,,,
B17B0263,001,14-04-1999,125,77,1548,,,,,,
B17B0263,001,28-04-1999,152,104,1521,,,,,,
B17B0263,001,17-05-1999,179,131,1494,,,,,,
B17B0263,001,31-05-1999,204,156,1469,,,,,,
B17B0263,001,14-07-1999,229,181,1444,,,,,,
B17B0263,001,28-07-1999,241,193,1432,,,,,,
B17B0263,001,13-08-1999,247,199,1426,,,,,,
B17B0263,001,27-08-1999,246,198,1427,,,,,,
B17B0263,001,14-09-1999,246,198,1427,,,,,,
B17B0263,001,28-09-1999,,,,D,,,,,
B17B0263,001,14-10-1999,,,,D,,,,,
B17B0263,001,28-10-1999,,,,D,,,,,
B17B0263,001,15-11-1999,,,,D,,,,,
B17B0263,001,29-11-1999,,,,D,,,,,
B17B0263,001,14-12-1999,152,104,1521,,,,,,
B17B0263,001,28-12-1999,,,,N,,,,,
B17B0263,001,14-01-2000,138,90,1535,,,,,,
B17B0263,001,28-01-2000,158,110,1515,,,,,,
B17B0263,001,14-03-2000,106,58,1567,,,,,,
B17B0263,001,28-03-2000,102,54,1571,,,,,,
B17B0263,001,14-04-2000,151,103,1522,,,,,,
B17B0263,001,28-04-2000,157,109,1516,,,,,,
B17B0263,001,15-05-2000,185,137,1488,,,,,,
B17B0263,001,29-05-2000,190,142,1483,,,,,,
B17B0263,001,14-06-2000,210,162,1463,,,,,,
B17B0263,001,28-06-2000,222,174,1451,,,,,,
B17B0263,001,14-07-2000,228,180,1445,,,,,,
B17B0263,001,27-07-2000,233,185,1440,,,,,,
B17B0263,001,15-08-2000,243,195,1430,,,,,,
B17B0263,001,28-08-2000,245,197,1428,,,,,,
B17B0263,001,15-09-2000,236,188,1437,,,,,,
B17B0263,001,29-09-2000,230,182,1443,,,,,,
B17B0263,001,16-10-2000,221,173,1452,,,,,,
B17B0263,001,30-10-2000,212,164,1461,,,,,,
B17B0263,001,12-12-2000,158,110,1515,,,,,,
B17B0263,001,27-12-2000,,,,Y,,,,,
B17B0263,001,09-01-2001,128,80,1545,,,,,,
B17B0263,001,31-01-2001,140,92,1533,,,,,,
B17B0263,001,16-02-2001,127,79,1546,,,,,,
B17B0263,001,28-02-2001,139,91,1534,,,,,,
B17B0263,001,18-04-2001,146,98,1527,,,,,,
B17B0263,001,27-04-2001,132,84,1541,,,,,,
B17B0263,001,14-08-2001,201,153,1472,,,,,,
B17B0263,001,28-08-2001,229,181,1444,,,,,,
B17B0263,001,14-09-2001,178,130,1495,,,,,,
B17B0263,001,28-09-2001,111,63,1562,,,,,,
B17B0263,001,14-10-2001,124,76,1549,,,,,,
B17B0263,001,28-10-2001,142,94,1531,,,,,,
B17B0263,001,14-11-2001,107,59,1566,,,,,,
