Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,15-04-1997,tot:,09-10-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17B0262,001,17BP7085,238702,547068,1536,12-03-1997,12-03-1997,09-10-2019,1594,58,1394,1344


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17B0262,001,15-04-1997,154,96,1440,,,,,,
B17B0262,001,28-04-1997,153,95,1441,,,,,,
B17B0262,001,13-05-1997,149,91,1445,,,,,,
B17B0262,001,28-05-1997,144,86,1450,,,,,,
B17B0262,001,16-06-1997,166,108,1428,,,,,,
B17B0262,001,30-06-1997,136,78,1458,,,,,,
B17B0262,001,14-07-1997,161,103,1433,,,,,,
B17B0262,001,29-07-1997,171,113,1423,,,,,,
B17B0262,001,14-08-1997,,,,N,,,,,
B17B0262,001,28-08-1997,,,,N,,,,,
B17B0262,001,15-09-1997,188,130,1406,,,,,,
B17B0262,001,29-09-1997,195,137,1399,,,,,,
B17B0262,001,14-10-1997,172,114,1422,,,,,,
B17B0262,001,28-10-1997,183,125,1411,,,,,,
B17B0262,001,17-11-1997,188,130,1406,,,,,,
B17B0262,001,01-12-1997,196,138,1398,,,,,,
B17B0262,001,15-12-1997,125,67,1469,,,,,,
B17B0262,001,30-12-1997,112,54,1482,,,,,,
B17B0262,001,14-01-1998,121,63,1473,,,,,,
B17B0262,001,28-01-1998,122,64,1472,,,,,,
B17B0262,001,16-02-1998,138,80,1456,,,,,,
B17B0262,001,28-02-1998,105,47,1489,,,,,,
B17B0262,001,16-03-1998,98,40,1496,,,,,,
B17B0262,001,30-03-1998,123,65,1471,,,,,,
B17B0262,001,15-04-1998,93,35,1501,,,,,,
B17B0262,001,28-04-1998,77,19,1517,,,,,,
B17B0262,001,13-05-1998,129,71,1465,,,,,,
B17B0262,001,27-05-1998,144,86,1450,,,,,,
B17B0262,001,15-06-1998,133,75,1461,,,,,,
B17B0262,001,29-06-1998,137,79,1457,,,,,,
B17B0262,001,14-07-1998,130,72,1464,,,,,,
B17B0262,001,28-07-1998,151,93,1443,,,,,,
B17B0262,001,14-08-1998,,,,N,,,,,
B17B0262,001,28-08-1998,,,,N,,,,,
B17B0262,001,15-09-1998,115,57,1479,,,,,,
B17B0262,001,28-09-1998,118,60,1476,,,,,,
B17B0262,001,14-10-1998,78,20,1516,,,,,,
B17B0262,001,27-10-1998,68,10,1526,,,,,,
B17B0262,001,16-11-1998,72,14,1522,,,,,,
B17B0262,001,30-11-1998,95,37,1499,,,,,,
B17B0262,001,28-12-1998,,,,N,,,,,
B17B0262,001,13-01-1999,77,19,1517,,,,,,
B17B0262,001,28-01-1999,65,7,1529,,,,,,
B17B0262,001,14-02-1999,,,,N,,,,,
B17B0262,001,01-03-1999,62,4,1532,,,,,,
B17B0262,001,15-03-1999,88,30,1506,,,,,,
B17B0262,001,28-03-1999,106,48,1488,,,,,,
B17B0262,001,14-04-1999,84,26,1510,,,,,,
B17B0262,001,28-04-1999,121,63,1473,,,,,,
B17B0262,001,17-05-1999,129,71,1465,,,,,,
B17B0262,001,31-05-1999,151,93,1443,,,,,,
B17B0262,001,14-07-1999,160,102,1434,,,,,,
B17B0262,001,28-07-1999,174,116,1420,,,,,,
B17B0262,001,13-08-1999,184,126,1410,,,,,,
B17B0262,001,27-08-1999,172,114,1422,,,,,,
B17B0262,001,14-09-1999,191,133,1403,,,,,,
B17B0262,001,28-09-1999,189,131,1405,,,,,,
B17B0262,001,14-10-1999,171,113,1423,,,,,,
B17B0262,001,28-10-1999,187,129,1407,,,,,,
B17B0262,001,15-11-1999,191,133,1403,,,,,,
B17B0262,001,29-11-1999,164,106,1430,,,,,,
B17B0262,001,14-12-1999,91,33,1503,,,,,,
B17B0262,001,28-12-1999,,,,N,,,,,
B17B0262,001,14-01-2000,107,49,1487,,,,,,
B17B0262,001,28-01-2000,94,36,1500,,,,,,
B17B0262,001,14-03-2000,73,15,1521,,,,,,
B17B0262,001,28-03-2000,70,12,1524,,,,,,
B17B0262,001,14-04-2000,103,45,1491,,,,,,
B17B0262,001,28-04-2000,127,69,1467,,,,,,
B17B0262,001,15-05-2000,146,88,1448,,,,,,
B17B0262,001,29-05-2000,121,63,1473,,,,,,
B17B0262,001,14-06-2000,160,102,1434,,,,,,
B17B0262,001,28-06-2000,160,102,1434,,,,,,
B17B0262,001,14-07-2000,156,98,1438,,,,,,
B17B0262,001,27-07-2000,163,105,1431,,,,,,
B17B0262,001,15-08-2000,172,114,1422,,,,,,
B17B0262,001,28-08-2000,168,110,1426,,,,,,
B17B0262,001,15-09-2000,162,104,1432,,,,,,
B17B0262,001,29-09-2000,150,92,1444,,,,,,
B17B0262,001,16-10-2000,149,91,1445,,,,,,
B17B0262,001,30-10-2000,120,62,1474,,,,,,
B17B0262,001,12-12-2000,80,22,1514,,,,,,
B17B0262,001,27-12-2000,,,,Y,,,,,
B17B0262,001,09-01-2001,80,22,1514,,,,,,
B17B0262,001,31-01-2001,101,43,1493,,,,,,
B17B0262,001,16-02-2001,90,32,1504,,,,,,
B17B0262,001,28-02-2001,104,46,1490,,,,,,
B17B0262,001,18-04-2001,89,31,1505,,,,,,
B17B0262,001,27-04-2001,90,32,1504,,,,,,
B17B0262,001,14-08-2001,119,61,1475,,,,,,
B17B0262,001,28-08-2001,140,82,1454,,,,,,
B17B0262,001,14-09-2001,104,46,1490,,,,,,
B17B0262,001,28-09-2001,71,13,1523,,,,,,
B17B0262,001,14-10-2001,84,26,1510,,,,,,
B17B0262,001,28-10-2001,105,47,1489,,,,,,
B17B0262,001,14-11-2001,79,21,1515,,,,,,
B17B0262,001,28-11-2001,77,19,1517,,,,,,
B17B0262,001,14-12-2001,94,36,1500,,,,,,
B17B0262,001,28-12-2001,79,21,1515,,,,,,
B17B0262,001,14-01-2002,82,24,1512,,,,,,
B17B0262,001,28-01-2002,66,8,1528,,,,,,
B17B0262,001,14-02-2002,71,13,1523,,,,,,
B17B0262,001,28-02-2002,66,8,1528,,,,,,
B17B0262,001,14-03-2002,90,32,1504,,,,,,
B17B0262,001,28-03-2002,95,37,1499,,,,,,
B17B0262,001,14-04-2002,120,62,1474,,,,,,
B17B0262,001,28-04-2002,82,24,1512,,,,,,
B17B0262,001,14-05-2002,120,62,1474,,,,,,
B17B0262,001,28-05-2002,137,79,1457,,,,,,
B17B0262,001,14-06-2002,134,76,1460,,,,,,
B17B0262,001,28-06-2002,150,92,1444,,,,,,
B17B0262,001,14-07-2002,147,89,1447,,,,,,
B17B0262,001,28-07-2002,161,103,1433,,,,,,
B17B0262,001,14-08-2002,140,82,1454,,,,,,
B17B0262,001,28-08-2002,137,79,1457,,,,,,
B17B0262,001,14-09-2002,145,87,1449,,,,,,
B17B0262,001,28-09-2002,155,97,1439,,,,,,
B17B0262,001,14-10-2002,160,102,1434,,,,,,
B17B0262,001,28-10-2002,134,76,1460,,,,,,
B17B0262,001,14-11-2002,100,42,1494,,,,,,
B17B0262,001,28-11-2002,102,44,1492,,,,,,
B17B0262,001,14-12-2002,137,79,1457,,,,,,
B17B0262,001,28-12-2002,71,13,1523,,,,,,
B17B0262,001,14-01-2003,77,19,1517,,,,,,
B17B0262,001,28-01-2003,80,22,1514,,,,,,
B17B0262,001,14-02-2003,105,47,1489,,,,,,
B17B0262,001,28-02-2003,115,57,1479,,,,,,
B17B0262,001,14-03-2003,100,42,1494,,,,,,
