Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,15-04-1997,tot:,29-05-2012,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17B0263,002,17BP7086,238973,546888,1623,11-03-1997,11-03-1997,31-12-2012,1669,44,1272,1222


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17B0263,002,15-04-1997,210,166,1459,,,,,,
B17B0263,002,28-04-1997,210,166,1459,,,,,,
B17B0263,002,13-05-1997,206,162,1463,,,,,,
B17B0263,002,28-05-1997,203,159,1466,,,,,,
B17B0263,002,16-06-1997,225,181,1444,,,,,,
B17B0263,002,30-06-1997,219,175,1450,,,,,,
B17B0263,002,14-07-1997,226,182,1443,,,,,,
B17B0263,002,29-07-1997,235,191,1434,,,,,,
B17B0263,002,14-08-1997,,,,N,,,,,
B17B0263,002,28-08-1997,,,,N,,,,,
B17B0263,002,15-09-1997,253,209,1416,,,,,,
B17B0263,002,29-09-1997,258,214,1411,,,,,,
B17B0263,002,14-10-1997,245,201,1424,,,,,,
B17B0263,002,28-10-1997,249,205,1420,,,,,,
B17B0263,002,17-11-1997,255,211,1414,,,,,,
B17B0263,002,01-12-1997,256,212,1413,,,,,,
B17B0263,002,15-12-1997,224,180,1445,,,,,,
B17B0263,002,30-12-1997,189,145,1480,,,,,,
B17B0263,002,14-01-1998,177,133,1492,,,,,,
B17B0263,002,28-01-1998,177,133,1492,,,,,,
B17B0263,002,16-02-1998,194,150,1475,,,,,,
B17B0263,002,28-02-1998,188,144,1481,,,,,,
B17B0263,002,16-03-1998,147,103,1522,,,,,,
B17B0263,002,30-03-1998,174,130,1495,,,,,,
B17B0263,002,15-04-1998,144,100,1525,,,,,,
B17B0263,002,28-04-1998,138,94,1531,,,,,,
B17B0263,002,13-05-1998,169,125,1500,,,,,,
B17B0263,002,27-05-1998,197,153,1472,,,,,,
B17B0263,002,15-06-1998,190,146,1479,,,,,,
B17B0263,002,29-06-1998,202,158,1467,,,,,,
B17B0263,002,14-07-1998,199,155,1470,,,,,,
B17B0263,002,28-07-1998,211,167,1458,,,,,,
B17B0263,002,14-08-1998,,,,N,,,,,
B17B0263,002,28-08-1998,,,,N,,,,,
B17B0263,002,15-09-1998,195,151,1474,,,,,,
B17B0263,002,28-09-1998,183,139,1486,,,,,,
B17B0263,002,14-10-1998,151,107,1518,,,,,,
B17B0263,002,27-10-1998,122,78,1547,,,,,,
B17B0263,002,16-11-1998,125,81,1544,,,,,,
B17B0263,002,30-11-1998,145,101,1524,,,,,,
B17B0263,002,28-12-1998,,,,N,,,,,
B17B0263,002,13-01-1999,132,88,1537,,,,,,
B17B0263,002,28-01-1999,118,74,1551,,,,,,
B17B0263,002,14-02-1999,,,,N,,,,,
B17B0263,002,01-03-1999,106,62,1563,,,,,,
B17B0263,002,15-03-1999,138,94,1531,,,,,,
B17B0263,002,28-03-1999,150,106,1519,,,,,,
B17B0263,002,14-04-1999,146,102,1523,,,,,,
B17B0263,002,28-04-1999,165,121,1504,,,,,,
B17B0263,002,17-05-1999,185,141,1484,,,,,,
B17B0263,002,31-05-1999,205,161,1464,,,,,,
B17B0263,002,14-07-1999,221,177,1448,,,,,,
B17B0263,002,28-07-1999,236,192,1433,,,,,,
B17B0263,002,13-08-1999,244,200,1425,,,,,,
B17B0263,002,27-08-1999,243,199,1426,,,,,,
B17B0263,002,14-09-1999,259,215,1410,,,,,,
B17B0263,002,28-09-1999,255,211,1414,,,,,,
B17B0263,002,14-10-1999,246,202,1423,,,,,,
B17B0263,002,28-10-1999,255,211,1414,,,,,,
B17B0263,002,15-11-1999,259,215,1410,,,,,,
B17B0263,002,29-11-1999,237,193,1432,,,,,,
B17B0263,002,14-12-1999,170,126,1499,,,,,,
B17B0263,002,28-12-1999,,,,N,,,,,
B17B0263,002,14-01-2000,156,112,1513,,,,,,
B17B0263,002,28-01-2000,169,125,1500,,,,,,
B17B0263,002,14-03-2000,130,86,1539,,,,,,
B17B0263,002,28-03-2000,129,85,1540,,,,,,
B17B0263,002,14-04-2000,162,118,1507,,,,,,
B17B0263,002,28-04-2000,170,126,1499,,,,,,
B17B0263,002,15-05-2000,191,147,1478,,,,,,
B17B0263,002,29-05-2000,192,148,1477,,,,,,
B17B0263,002,14-06-2000,215,171,1454,,,,,,
B17B0263,002,28-06-2000,225,181,1444,,,,,,
B17B0263,002,14-07-2000,221,177,1448,,,,,,
B17B0263,002,27-07-2000,229,185,1440,,,,,,
B17B0263,002,15-08-2000,237,193,1432,,,,,,
B17B0263,002,28-08-2000,238,194,1431,,,,,,
B17B0263,002,15-09-2000,229,185,1440,,,,,,
B17B0263,002,29-09-2000,220,176,1449,,,,,,
B17B0263,002,16-10-2000,214,170,1455,,,,,,
B17B0263,002,30-10-2000,195,151,1474,,,,,,
B17B0263,002,12-12-2000,170,126,1499,,,,,,
B17B0263,002,27-12-2000,,,,Y,,,,,
B17B0263,002,09-01-2001,143,99,1526,,,,,,
B17B0263,002,31-01-2001,160,116,1509,,,,,,
B17B0263,002,16-02-2001,144,100,1525,,,,,,
B17B0263,002,28-02-2001,155,111,1514,,,,,,
B17B0263,002,18-04-2001,162,118,1507,,,,,,
B17B0263,002,27-04-2001,155,111,1514,,,,,,
B17B0263,002,14-08-2001,186,142,1483,,,,,,
B17B0263,002,28-08-2001,210,166,1459,,,,,,
B17B0263,002,14-09-2001,166,122,1503,,,,,,
B17B0263,002,28-09-2001,129,85,1540,,,,,,
B17B0263,002,14-10-2001,146,102,1523,,,,,,
B17B0263,002,28-10-2001,155,111,1514,,,,,,
