Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,28-11-1991,tot:,20-08-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B12B0167,005,12BP0167,237050,566360,937,07-11-1991,07-11-1991,03-10-1996,1000,63,-5863,-6063
B12B0167,005,12BP0167,237050,566360,930,03-10-1996,03-10-1996,17-07-2006,1000,70,-5863,-6063
B12B0167,005,12BP0167,237050,566360,925,17-07-2006,17-07-2006,20-08-2019,996,71,-5863,-6063


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B12B0167,005,28-11-1991,572,509,428,,,,,,
B12B0167,005,13-12-1991,578,515,422,,,,,,
B12B0167,005,27-12-1991,561,498,439,,,,,,
B12B0167,005,14-01-1992,552,489,448,,,,,,
B12B0167,005,28-01-1992,561,498,439,,,,,,
B12B0167,005,14-02-1992,562,499,438,,,,,,
B12B0167,005,28-02-1992,552,489,448,,,,,,
B12B0167,005,13-03-1992,545,482,455,,,,,,
B12B0167,005,27-03-1992,524,461,476,,,,,,
B12B0167,005,14-04-1992,547,484,453,,,,,,
B12B0167,005,28-04-1992,546,483,454,,,,,,
B12B0167,005,14-05-1992,538,475,462,,,,,,
B12B0167,005,27-05-1992,556,493,444,,,,,,
B12B0167,005,15-06-1992,570,507,430,,,,,,
B12B0167,005,29-06-1992,581,518,419,,,,,,
B12B0167,005,14-07-1992,594,531,406,,,,,,
B12B0167,005,28-07-1992,596,533,404,,,,,,
B12B0167,005,14-08-1992,604,541,396,,,,,,
B12B0167,005,28-08-1992,610,547,390,,,,,,
B12B0167,005,14-09-1992,596,533,404,,,,,,
B12B0167,005,28-09-1992,604,541,396,,,,,,
B12B0167,005,14-10-1992,608,545,392,,,,,,
B12B0167,005,28-10-1992,598,535,402,,,,,,
B12B0167,005,13-11-1992,581,518,419,,,,,,
B12B0167,005,27-11-1992,551,488,449,,,,,,
B12B0167,005,14-12-1992,536,473,464,,,,,,
B12B0167,005,28-12-1992,548,485,452,,,,,,
B12B0167,005,14-01-1993,535,472,465,,,,,,
B12B0167,005,28-01-1993,525,462,475,,,,,,
B12B0167,005,15-02-1993,532,469,468,,,,,,
B12B0167,005,01-03-1993,536,473,464,,,,,,
B12B0167,005,15-03-1993,541,478,459,,,,,,
B12B0167,005,29-03-1993,553,490,447,,,,,,
B12B0167,005,14-04-1993,555,492,445,,,,,,
B12B0167,005,28-04-1993,563,500,437,,,,,,
B12B0167,005,14-05-1993,570,507,430,,,,,,
B12B0167,005,28-05-1993,571,508,429,,,,,,
B12B0167,005,14-06-1993,576,513,424,,,,,,
B12B0167,005,28-06-1993,581,518,419,,,,,,
B12B0167,005,14-07-1993,590,527,410,,,,,,
B12B0167,005,28-07-1993,582,519,418,,,,,,
B12B0167,005,13-08-1993,569,506,431,,,,,,
B12B0167,005,14-09-1993,560,497,440,,,,,,
B12B0167,005,28-09-1993,538,475,462,,,,,,
B12B0167,005,14-10-1993,505,442,495,,,,,,
B12B0167,005,28-10-1993,520,457,480,,,,,,
B12B0167,005,15-11-1993,526,463,474,,,,,,
B12B0167,005,29-11-1993,538,475,462,,,,,,
B12B0167,005,14-12-1993,498,435,502,,,,,,
B12B0167,005,14-01-1994,487,424,513,,,,,,
B12B0167,005,28-01-1994,476,413,524,,,,,,
B12B0167,005,14-02-1994,504,441,496,,,,,,
B12B0167,005,28-02-1994,527,464,473,,,,,,
B12B0167,005,14-03-1994,501,438,499,,,,,,
B12B0167,005,28-03-1994,477,414,523,,,,,,
B12B0167,005,14-04-1994,490,427,510,,,,,,
B12B0167,005,28-04-1994,517,454,483,,,,,,
B12B0167,005,16-05-1994,521,458,479,,,,,,
B12B0167,005,14-06-1994,525,462,475,,,,,,
B12B0167,005,28-06-1994,542,479,458,,,,,,
B12B0167,005,14-07-1994,546,483,454,,,,,,
B12B0167,005,28-07-1994,560,497,440,,,,,,
B12B0167,005,15-08-1994,569,506,431,,,,,,
B12B0167,005,29-08-1994,576,513,424,,,,,,
B12B0167,005,14-09-1994,575,512,425,,,,,,
B12B0167,005,28-09-1994,555,492,445,,,,,,
B12B0167,005,14-10-1994,564,501,436,,,,,,
B12B0167,005,28-10-1994,567,504,433,,,,,,
B12B0167,005,14-11-1994,542,479,458,,,,,,
B12B0167,005,28-11-1994,522,459,478,,,,,,
B12B0167,005,14-12-1994,514,451,486,,,,,,
B12B0167,005,02-01-1995,487,424,513,,,,,,
B12B0167,005,13-01-1995,492,429,508,,,,,,
B12B0167,005,27-01-1995,455,392,545,,,,,,
B12B0167,005,14-02-1995,468,405,532,,,,,,
B12B0167,005,27-02-1995,475,412,525,,,,,,
B12B0167,005,14-03-1995,485,422,515,,,,,,
B12B0167,005,28-03-1995,485,422,515,,,,,,
B12B0167,005,13-04-1995,507,444,493,,,,,,
B12B0167,005,27-04-1995,514,451,486,,,,,,
B12B0167,005,15-05-1995,534,471,466,,,,,,
B12B0167,005,29-05-1995,529,466,471,,,,,,
B12B0167,005,14-06-1995,506,443,494,,,,,,
B12B0167,005,28-06-1995,521,458,479,,,,,,
B12B0167,005,14-07-1995,540,477,460,,,,,,
B12B0167,005,28-07-1995,545,482,455,,,,,,
B12B0167,005,14-08-1995,561,498,439,,,,,,
B12B0167,005,28-08-1995,571,508,429,,,,,,
B12B0167,005,14-09-1995,561,498,439,,,,,,
B12B0167,005,28-09-1995,564,501,436,,,,,,
B12B0167,005,13-10-1995,564,501,436,,,,,,
B12B0167,005,27-10-1995,571,508,429,,,,,,
B12B0167,005,14-11-1995,576,513,424,,,,,,
B12B0167,005,28-11-1995,561,498,439,,,,,,
B12B0167,005,15-12-1995,573,510,427,,,,,,
B12B0167,005,28-12-1995,571,508,429,,,,,,
B12B0167,005,15-01-1996,581,518,419,,,,,,
B12B0167,005,29-01-1996,585,522,415,,,,,,
B12B0167,005,14-02-1996,588,525,412,,,,,,
B12B0167,005,28-02-1996,565,502,435,,,,,,
B12B0167,005,14-03-1996,565,502,435,,,,,,
B12B0167,005,28-03-1996,571,508,429,,,,,,
B12B0167,005,15-04-1996,580,517,420,,,,,,
B12B0167,005,29-04-1996,586,523,414,,,,,,
B12B0167,005,14-05-1996,591,528,409,,,,,,
B12B0167,005,28-05-1996,595,532,405,,,,,,
B12B0167,005,13-06-1996,599,536,401,,,,,,
B12B0167,005,27-06-1996,604,541,396,,,,,,
B12B0167,005,15-07-1996,604,541,396,,,,,,
B12B0167,005,29-07-1996,608,545,392,,,,,,
B12B0167,005,14-08-1996,614,551,386,,,,,,
B12B0167,005,28-08-1996,612,549,388,,,,,,
B12B0167,005,13-09-1996,606,543,394,,,,,,
B12B0167,005,27-09-1996,607,544,393,,,,,,
B12B0167,005,14-10-1996,601,531,399,,,,,,
B12B0167,005,28-10-1996,598,528,402,,,,,,
B12B0167,005,14-11-1996,575,505,425,,,,,,
B12B0167,005,28-11-1996,589,519,411,,,,,,
B12B0167,005,13-12-1996,550,480,450,,,,,,
B12B0167,005,27-12-1996,554,484,446,,,,,,
B12B0167,005,13-01-1997,571,501,429,,,,,,
B12B0167,005,28-01-1997,574,504,426,,,,,,
B12B0167,005,14-02-1997,554,484,446,,,,,,
B12B0167,005,28-02-1997,537,467,463,,,,,,
B12B0167,005,14-03-1997,587,517,413,,,,,,
B12B0167,005,27-03-1997,550,480,450,,,,,,
B12B0167,005,14-04-1997,560,490,440,,,,,,
B12B0167,005,28-04-1997,569,499,431,,,,,,
B12B0167,005,14-05-1997,562,492,438,,,,,,
B12B0167,005,28-05-1997,557,487,443,,,,,,
B12B0167,005,13-06-1997,571,501,429,,,,,,
B12B0167,005,27-06-1997,572,502,428,,,,,,
B12B0167,005,14-07-1997,573,503,427,,,,,,
