Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,15-04-1997,tot:,09-10-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17B0261,002,17BP7084,238424,547230,1439,12-03-1997,12-03-1997,09-10-2019,1480,44,978,928


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17B0261,002,15-04-1997,93,49,1387,,,,,,
B17B0261,002,28-04-1997,77,33,1403,,,,,,
B17B0261,002,13-05-1997,77,33,1403,,,,,,
B17B0261,002,28-05-1997,81,37,1399,,,,,,
B17B0261,002,16-06-1997,94,50,1386,,,,,,
B17B0261,002,30-06-1997,58,14,1422,,,,,,
B17B0261,002,14-07-1997,87,43,1393,,,,,,
B17B0261,002,29-07-1997,90,46,1390,,,,,,
B17B0261,002,14-08-1997,,,,N,,,,,
B17B0261,002,28-08-1997,,,,N,,,,,
B17B0261,002,15-09-1997,145,101,1335,,,,,,
B17B0261,002,29-09-1997,117,73,1363,,,,,,
B17B0261,002,14-10-1997,68,24,1412,,,,,,
B17B0261,002,28-10-1997,105,61,1375,,,,,,
B17B0261,002,17-11-1997,107,63,1373,,,,,,
B17B0261,002,01-12-1997,110,66,1370,,,,,,
B17B0261,002,15-12-1997,74,30,1406,,,,,,
B17B0261,002,30-12-1997,48,4,1432,,,,,,
B17B0261,002,14-01-1998,50,6,1430,,,,,,
B17B0261,002,28-01-1998,52,8,1428,,,,,,
B17B0261,002,16-02-1998,69,25,1411,,,,,,
B17B0261,002,28-02-1998,50,6,1430,,,,,,
B17B0261,002,16-03-1998,40,-4,1440,,,,,,
B17B0261,002,30-03-1998,59,15,1421,,,,,,
B17B0261,002,15-04-1998,42,-2,1438,,,,,,
B17B0261,002,28-04-1998,38,-6,1442,,,,,,
B17B0261,002,13-05-1998,52,8,1428,,,,,,
B17B0261,002,27-05-1998,80,36,1400,,,,,,
B17B0261,002,15-06-1998,69,25,1411,,,,,,
B17B0261,002,29-06-1998,65,21,1415,,,,,,
B17B0261,002,14-07-1998,62,18,1418,,,,,,
B17B0261,002,28-07-1998,88,44,1392,,,,,,
B17B0261,002,14-08-1998,,,,N,,,,,
B17B0261,002,28-08-1998,,,,N,,,,,
B17B0261,002,15-09-1998,46,2,1434,,,,,,
B17B0261,002,28-09-1998,53,9,1427,,,,,,
B17B0261,002,14-10-1998,35,-9,1445,,,,,,
B17B0261,002,27-10-1998,30,-14,1450,,,,,,
B17B0261,002,16-11-1998,37,-7,1443,,,,,,
B17B0261,002,30-11-1998,43,-1,1437,,,,,,
B17B0261,002,28-12-1998,,,,N,,,,,
B17B0261,002,13-01-1999,40,-4,1440,,,,,,
B17B0261,002,28-01-1999,34,-10,1446,,,,,,
B17B0261,002,14-02-1999,,,,N,,,,,
B17B0261,002,01-03-1999,34,-10,1446,,,,,,
B17B0261,002,15-03-1999,48,4,1432,,,,,,
B17B0261,002,28-03-1999,55,11,1425,,,,,,
B17B0261,002,14-04-1999,43,-1,1437,,,,,,
B17B0261,002,28-04-1999,72,28,1408,,,,,,
B17B0261,002,17-05-1999,89,45,1391,,,,,,
B17B0261,002,31-05-1999,93,49,1387,,,,,,
B17B0261,002,14-07-1999,96,52,1384,,,,,,
B17B0261,002,28-07-1999,107,63,1373,,,,,,
B17B0261,002,13-08-1999,109,65,1371,,,,,,
B17B0261,002,27-08-1999,104,60,1376,,,,,,
B17B0261,002,14-09-1999,116,72,1364,,,,,,
B17B0261,002,28-09-1999,115,71,1365,,,,,,
B17B0261,002,14-10-1999,97,53,1383,,,,,,
B17B0261,002,28-10-1999,110,66,1370,,,,,,
B17B0261,002,15-11-1999,110,66,1370,,,,,,
B17B0261,002,29-11-1999,95,51,1385,,,,,,
B17B0261,002,14-12-1999,40,-4,1440,,,,,,
B17B0261,002,28-12-1999,,,,N,,,,,
B17B0261,002,14-01-2000,45,1,1435,,,,,,
B17B0261,002,28-01-2000,42,-2,1438,,,,,,
B17B0261,002,14-03-2000,38,-6,1442,,,,,,
B17B0261,002,28-03-2000,38,-6,1442,,,,,,
B17B0261,002,14-04-2000,60,16,1420,,,,,,
B17B0261,002,28-04-2000,73,29,1407,,,,,,
B17B0261,002,15-05-2000,89,45,1391,,,,,,
B17B0261,002,29-05-2000,68,24,1412,,,,,,
B17B0261,002,14-06-2000,90,46,1390,,,,,,
B17B0261,002,28-06-2000,95,51,1385,,,,,,
B17B0261,002,14-07-2000,85,41,1395,,,,,,
B17B0261,002,27-07-2000,97,53,1383,,,,,,
B17B0261,002,15-08-2000,103,59,1377,,,,,,
B17B0261,002,28-08-2000,102,58,1378,,,,,,
B17B0261,002,15-09-2000,95,51,1385,,,,,,
B17B0261,002,29-09-2000,83,39,1397,,,,,,
B17B0261,002,16-10-2000,81,37,1399,,,,,,
B17B0261,002,30-10-2000,62,18,1418,,,,,,
B17B0261,002,12-12-2000,45,1,1435,,,,,,
B17B0261,002,27-12-2000,,,,Y,,,,,
B17B0261,002,09-01-2001,40,-4,1440,,,,,,
B17B0261,002,31-01-2001,49,5,1431,,,,,,
B17B0261,002,16-02-2001,45,1,1435,,,,,,
B17B0261,002,28-02-2001,50,6,1430,,,,,,
B17B0261,002,18-04-2001,47,3,1433,,,,,,
B17B0261,002,27-04-2001,46,2,1434,,,,,,
B17B0261,002,14-08-2001,52,8,1428,,,,,,
B17B0261,002,28-08-2001,75,31,1405,,,,,,
B17B0261,002,14-09-2001,41,-3,1439,,,,,,
B17B0261,002,28-09-2001,32,-12,1448,,,,,,
B17B0261,002,14-10-2001,42,-2,1438,,,,,,
B17B0261,002,28-10-2001,55,11,1425,,,,,,
B17B0261,002,14-11-2001,42,-2,1438,,,,,,
B17B0261,002,28-11-2001,40,-4,1440,,,,,,
B17B0261,002,14-12-2001,50,6,1430,,,,,,
B17B0261,002,28-12-2001,43,-1,1437,,,,,,
B17B0261,002,14-01-2002,46,2,1434,,,,,,
B17B0261,002,28-01-2002,36,-8,1444,,,,,,
B17B0261,002,14-02-2002,40,-4,1440,,,,,,
B17B0261,002,28-02-2002,35,-9,1445,,,,,,
B17B0261,002,14-03-2002,51,7,1429,,,,,,
B17B0261,002,28-03-2002,55,11,1425,,,,,,
B17B0261,002,14-04-2002,74,30,1406,,,,,,
B17B0261,002,28-04-2002,45,1,1435,,,,,,
B17B0261,002,14-05-2002,70,26,1410,,,,,,
B17B0261,002,28-05-2002,80,36,1400,,,,,,
B17B0261,002,14-06-2002,74,30,1406,,,,,,
B17B0261,002,28-06-2002,86,42,1394,,,,,,
B17B0261,002,14-07-2002,90,46,1390,,,,,,
B17B0261,002,28-07-2002,92,48,1388,,,,,,
B17B0261,002,14-08-2002,70,26,1410,,,,,,
B17B0261,002,28-08-2002,74,30,1406,,,,,,
B17B0261,002,14-09-2002,81,37,1399,,,,,,
B17B0261,002,28-09-2002,90,46,1390,,,,,,
B17B0261,002,14-10-2002,92,48,1388,,,,,,
B17B0261,002,28-10-2002,68,24,1412,,,,,,
B17B0261,002,14-11-2002,50,6,1430,,,,,,
B17B0261,002,28-11-2002,55,11,1425,,,,,,
B17B0261,002,14-12-2002,78,34,1402,,,,,,
B17B0261,002,28-12-2002,35,-9,1445,,,,,,
B17B0261,002,14-01-2003,44,0,1436,,,,,,
B17B0261,002,28-01-2003,44,0,1436,,,,,,
B17B0261,002,14-02-2003,55,11,1425,,,,,,
B17B0261,002,28-02-2003,70,26,1410,,,,,,
